Date,Open,High,Low,Close,Adj Close,Volume
2018-04-12,189.202,192.322,188.013,190.708,190.708,284760.93341836
2018-04-13,192.52,192.817,187.3,187.479,187.479,282285.24304996
2018-04-16,189.45,193.322,187.795,191.896,191.896,320367.66120465
2018-04-17,193.728,195.224,192.273,194.213,194.213,224913.23905178
2018-04-18,194.828,195.897,193.847,194.145,194.145,346433.08638841
2018-04-19,194.164,194.491,188.211,191.371,191.371,548533.02043449
2018-04-20,191.302,192.005,184.775,185.963,185.963,592196.84819624
2018-04-23,188.182,192.748,185.319,187.271,187.271,935623.16218779
2018-04-24,187.509,191.925,175.662,178.614,178.614,641095.77161872
2018-04-25,179.069,184.538,176.663,183.359,183.359,943643.91434381
2018-04-26,184.052,186.26,182.606,185.25,185.25,663492.08636254
2018-04-27,185.487,187.439,184.329,187.033,187.033,562421.92610648
2018-04-30,187.707,189.034,182.438,182.467,182.467,497453.22784571
2018-05-01,182.051,185.884,179.664,185.429,185.429,388915.61001841
2018-05-02,184.894,187.657,181.883,182.268,182.268,466795.86147293
2018-05-03,181.259,185.131,180.298,183.547,183.547,270422.72831166
2018-05-04,182.566,189.499,182.566,188.281,188.281,384707.3402568
2018-05-07,188.706,191.965,188.142,190.529,190.529,509000.72814889
2018-05-08,189.598,196.095,189.42,192.351,192.351,502772.1254235
2018-05-09,192.629,192.916,189.697,191.064,191.064,351384.46712521
2018-05-10,191.807,193.768,191.49,192.738,192.738,170732.7755326
2018-05-11,192.649,194.174,192.035,193.025,193.025,99282.049472034
2018-05-14,193.224,194.015,190.073,191.134,191.134,200473.36912622
2018-05-15,189.212,190.698,187.31,187.875,187.875,369885.50721923
2018-05-16,189.469,190.123,187.221,188.439,188.439,348504.91209639
2018-05-17,188.251,192.253,188.251,191.619,191.619,199137.58676187
2018-05-18,191.024,192.916,190.539,192.351,192.351,185120.45406021
2018-05-21,193.422,195.511,192.659,194.986,194.986,227043.62513552
2018-05-22,194.956,195.878,192.451,192.589,192.589,306931.08395234
2018-05-23,191.44,194.303,190.916,194.203,194.203,190715.99893038
2018-05-24,194.193,195.144,192.381,193.639,193.639,214480.40521138
2018-05-25,193.689,196.442,193.252,195.62,195.62,226747.79427176
2018-05-29,194.035,196.303,192.906,194.956,194.956,241408.08144515
2018-05-30,196.739,196.739,195.214,195.917,195.917,250961.49998748
2018-05-31,196.016,196.016,191.51,191.827,191.827,484288.24957755
2018-06-01,193.352,194.451,192.273,193.214,193.214,248104.15751498
2018-06-04,194.471,196.026,192.866,194.075,194.075,204994.63399967
2018-06-05,194.263,195.868,192.481,195.284,195.284,250946.35506272
2018-06-06,195.105,196.383,192.946,195.184,195.184,198653.95883101
2018-06-07,195.758,197.938,195.53,197.828,197.828,177972.0495707
2018-06-08,197.274,201.86,197.274,201.692,201.692,273022.60706314
2018-06-11,201.77,202.831,198.373,198.729,198.729,267140.31828406
2018-06-12,199.473,202.316,197.74,200.374,200.374,277027.9348329
2018-06-13,200.829,200.829,196.413,196.759,196.759,267295.80617833
2018-06-14,197.7,199.81,196.313,199.582,199.582,191755.95043097
2018-06-15,198.611,199.868,197.195,199.413,199.413,494805.89499664
2018-06-18,197.78,199.661,196.848,197.432,197.432,168876.0077563
2018-06-19,196.293,197.185,192.649,194.343,194.343,275831.48577639
2018-06-20,195.739,196.125,190.678,193.342,193.342,520989.45059357
2018-06-21,193.778,193.778,188.894,190.569,190.569,273174.0563108
2018-06-22,191.124,192.778,188.221,188.628,188.628,331649.62049359
2018-06-25,188.518,189.588,185.449,186.904,186.904,267992.47271756
2018-06-26,187.102,187.875,185.29,185.419,185.419,366085.14076465
2018-06-27,185.537,187.37,182.675,182.883,182.883,324627.42371047
2018-06-28,183.022,185.022,181.367,183.547,183.547,559011.28904919
2018-06-29,185.449,192.173,183.626,189.489,189.489,653511.58094181
2018-07-02,186.904,191.114,186.201,191.004,191.004,327580.68403982
2018-07-03,191.154,193.412,190.519,191.202,191.202,189683.11506135
2018-07-05,191.797,195.342,190.301,195.164,195.164,333254.98251878
2018-07-06,195.322,196.689,194.531,195.492,195.492,281225.09831635
